Transaction_Date,Year,Month,Time,Amount,Merchant_City,Merchant_State,Is_Fraud?
12/9/2002,2002,9,6:26:00,2226240.0,La Verne,CA,No
12/9/2002,2002,9,6:50:00,1260480.0,La Verne,CA,No
12/9/2002,2002,9,11:43:00,27120.0,La Verne,CA,No
13/9/2002,2002,9,6:22:00,3042960.0,La Verne,CA,No
13/9/2002,2002,9,6:37:00,1065840.0,La Verne,CA,No
14/9/2002,2002,9,6:09:00,3944880.0,La Verne,CA,No
14/9/2002,2002,9,13:08:00,306240.0,La Verne,CA,No
15/9/2002,2002,9,5:34:00,2638560.0,La Verne,CA,No
15/9/2002,2002,9,6:18:00,3030960.0,La Verne,CA,No
15/9/2002,2002,9,6:55:00,979440.06,La Verne,CA,No
15/9/2002,2002,9,13:54:00,1952400.0,Diamond Bar,CA,No
16/9/2002,2002,9,6:00:00,2768160.0,La Verne,CA,No
16/9/2002,2002,9,6:45:00,1062000.0,La Verne,CA,No
17/9/2002,2002,9,6:09:00,2884560.0,La Verne,CA,No
17/9/2002,2002,9,6:24:00,3833280.0,La Verne,CA,No
18/9/2002,2002,9,6:19:00,3092400.2,La Verne,CA,No
18/9/2002,2002,9,20:01:00,2215200.0,La Verne,CA,No
19/9/2002,2002,9,6:25:00,4034640.0,La Verne,CA,No
19/9/2002,2002,9,9:42:00,1274160.0,La Verne,CA,No
20/9/2002,2002,9,6:01:00,2514480.0,La Verne,CA,No
20/9/2002,2002,9,6:17:00,2872560.0,La Verne,CA,No
21/9/2002,2002,9,6:27:00,3492000.0,Mira Loma,CA,No
21/9/2002,2002,9,6:47:00,1160160.0,Monterey Park,CA,No
21/9/2002,2002,9,14:23:00,66960.0,Monterey Park,CA,No
22/9/2002,2002,9,6:50:00,1140240.0,La Verne,CA,No
22/9/2002,2002,9,9:29:00,1247520.0,La Verne,CA,No
22/9/2002,2002,9,9:37:00,1989600.0,La Verne,CA,No
22/9/2002,2002,9,20:16:00,1832880.1,Mira Loma,CA,No
23/9/2002,2002,9,6:01:00,3237360.0,La Verne,CA,No
23/9/2002,2002,9,6:46:00,846720.0,La Verne,CA,No
23/9/2002,2002,9,20:26:00,1935600.0,La Verne,CA,No
24/9/2002,2002,9,6:07:00,2704080.0,La Verne,CA,No
25/9/2002,2002,9,6:19:00,3894239.8,La Verne,CA,No
25/9/2002,2002,9,6:36:00,945120.0,Monterey Park,CA,No
25/9/2002,2002,9,13:01:00,1338240.0,La Verne,CA,No
25/9/2002,2002,9,13:10:00,2400000.0,La Verne,CA,No
25/9/2002,2002,9,13:14:00,,La Verne,CA,No
26/9/2002,2002,9,6:25:00,2240880.0,La Verne,CA,No
27/9/2002,2002,9,6:21:00,4793040.0,Monterey Park,CA,No
27/9/2002,2002,9,8:01:00,556320.0,La Verne,CA,No
27/9/2002,2002,9,9:42:00,1383360.0,La Verne,CA,No
28/9/2002,2002,9,5:36:00,1883040.0,La Verne,CA,No
28/9/2002,2002,9,6:23:00,3400800.0,La Verne,CA,No
28/9/2002,2002,9,9:32:00,1329840.0,La Verne,CA,No
28/9/2002,2002,9,13:13:00,3680640.0,La Verne,CA,No
29/9/2002,2002,9,6:06:00,2870640.0,La Verne,CA,No
29/9/2002,2002,9,6:22:00,2886000.0,La Verne,CA,No
29/9/2002,2002,9,6:33:00,973920.06,La Verne,CA,No
29/9/2002,2002,9,20:15:00,3983040.2,Mira Loma,CA,No
30/9/2002,2002,9,6:21:00,3055680.0,ONLINE,"",No
30/9/2002,2002,9,6:57:00,915120.0,La Verne,CA,No
30/9/2002,2002,9,12:52:00,271200.0,Mira Loma,CA,No
30/9/2002,2002,9,20:07:00,1921200.1,La Verne,CA,No
1/10/2002,2002,10,6:15:00,2873520.0,La Verne,CA,No
1/10/2002,2002,10,6:56:00,741600.0,Monterey Park,CA,No
1/10/2002,2002,10,11:34:00,837360.0,La Verne,CA,No
2/10/2002,2002,10,6:17:00,3344160.0,Mira Loma,CA,No
3/10/2002,2002,10,5:59:00,1115040.0,La Verne,CA,No
3/10/2002,2002,10,6:12:00,2465760.0,Monterey Park,CA,No
3/10/2002,2002,10,6:50:00,874559.94,Monterey Park,CA,No
4/10/2002,2002,10,6:20:00,2756880.0,La Verne,CA,No
5/10/2002,2002,10,9:34:00,1275120.0,La Verne,CA,No
5/10/2002,2002,10,10:38:00,404880.03,La Verne,CA,No
6/10/2002,2002,10,6:14:00,3345360.0,ONLINE,"",No
7/10/2002,2002,10,6:24:00,3215040.2,La Verne,CA,No
8/10/2002,2002,10,6:24:00,2400000.0,Mira Loma,CA,No
8/10/2002,2002,10,6:26:00,3712800.0,La Verne,CA,No
8/10/2002,2002,10,8:24:00,653280.0,La Verne,CA,No
9/10/2002,2002,10,6:10:00,2838000.0,Mira Loma,CA,No
9/10/2002,2002,10,6:44:00,744240.0,Monterey Park,CA,No
9/10/2002,2002,10,8:16:00,1274160.0,ONLINE,"",No
10/10/2002,2002,10,6:24:00,3409440.0,La Verne,CA,No
11/10/2002,2002,10,5:52:00,4144080.0,La Verne,CA,No
11/10/2002,2002,10,6:08:00,3827040.2,La Verne,CA,No
11/10/2002,2002,10,6:57:00,904559.94,Monterey Park,CA,No
11/10/2002,2002,10,20:00:00,2099280.0,La Verne,CA,No
12/10/2002,2002,10,6:29:00,4055040.2,La Verne,CA,No
13/10/2002,2002,10,6:21:00,3249840.0,La Verne,CA,No
13/10/2002,2002,10,6:33:00,720000.0,La Verne,CA,No
13/10/2002,2002,10,13:00:00,1406880.0,La Verne,CA,No
13/10/2002,2002,10,13:15:00,,La Verne,CA,No
13/10/2002,2002,10,13:17:00,2376000.0,La Verne,CA,No
14/10/2002,2002,10,6:12:00,2418000.0,La Verne,CA,No
14/10/2002,2002,10,6:12:00,,San Diego,CA,No
14/10/2002,2002,10,18:58:00,4968000.0,Tilden,NE,No
15/10/2002,2002,10,6:03:00,2378160.0,Lincoln,NE,No
15/10/2002,2002,10,13:11:00,,Lincoln,NE,No
15/10/2002,2002,10,13:17:00,2112000.0,Lincoln,NE,No
15/10/2002,2002,10,13:21:00,1327200.0,Lincoln,NE,No
15/10/2002,2002,10,16:49:00,2232480.0,Lincoln,NE,No
16/10/2002,2002,10,11:47:00,3424319.8,Tilden,NE,No
16/10/2002,2002,10,11:54:00,,Tilden,NE,No
16/10/2002,2002,10,14:09:00,87600.0,Monterey Park,CA,No
16/10/2002,2002,10,20:01:00,1.250976E7,La Verne,CA,No
17/10/2002,2002,10,6:09:00,2737200.0,La Verne,CA,No
18/10/2002,2002,10,6:12:00,2186400.0,La Verne,CA,No
18/10/2002,2002,10,11:32:00,44160.0,La Verne,CA,No
19/10/2002,2002,10,6:29:00,3125280.0,La Verne,CA,No
19/10/2002,2002,10,6:47:00,576480.0,La Verne,CA,No
20/10/2002,2002,10,6:46:00,984480.0,La Verne,CA,No
21/10/2002,2002,10,6:47:00,1048559.94,La Verne,CA,No
21/10/2002,2002,10,12:31:00,1177920.0,Mira Loma,CA,No
21/10/2002,2002,10,12:39:00,,Mira Loma,CA,No
21/10/2002,2002,10,12:52:00,1368000.0,Mira Loma,CA,No
22/10/2002,2002,10,6:07:00,3947760.2,La Verne,CA,No
23/10/2002,2002,10,6:00:00,4838880.0,La Verne,CA,No
23/10/2002,2002,10,9:32:00,427680.0,La Verne,CA,No
24/10/2002,2002,10,6:19:00,2855040.0,La Verne,CA,No
24/10/2002,2002,10,13:04:00,1584000.0,La Verne,CA,No
24/10/2002,2002,10,13:23:00,1488240.0,La Verne,CA,No
24/10/2002,2002,10,13:26:00,,La Verne,CA,No
25/10/2002,2002,10,6:06:00,938880.0,Monterey Park,CA,No
25/10/2002,2002,10,6:14:00,3565920.0,La Verne,CA,No
25/10/2002,2002,10,13:48:00,859680.0,Diamond Bar,CA,No
25/10/2002,2002,10,20:10:00,1760400.0,La Verne,CA,No
26/10/2002,2002,10,6:05:00,2866320.0,La Verne,CA,No
26/10/2002,2002,10,6:55:00,922079.94,Monterey Park,CA,No
26/10/2002,2002,10,22:13:00,5195280.0,La Verne,CA,No
27/10/2002,2002,10,6:04:00,3144480.0,Mira Loma,CA,No
27/10/2002,2002,10,6:40:00,889440.06,La Verne,CA,No
28/10/2002,2002,10,6:17:00,3766319.8,La Verne,CA,No
28/10/2002,2002,10,11:41:00,55200.0,La Verne,CA,No
29/10/2002,2002,10,13:20:00,234240.0,Mira Loma,CA,No
29/10/2002,2002,10,21:44:00,718800.0,Monterey Park,CA,No
30/10/2002,2002,10,6:05:00,1868400.0,Monterey Park,CA,No
30/10/2002,2002,10,6:48:00,862079.94,La Verne,CA,No
31/10/2002,2002,10,6:11:00,3254400.2,La Verne,CA,No
31/10/2002,2002,10,6:56:00,903120.0,Monterey Park,CA,No
31/10/2002,2002,10,13:08:00,2304000.0,Mira Loma,CA,No
31/10/2002,2002,10,13:09:00,,Mira Loma,CA,No
31/10/2002,2002,10,13:11:00,1465920.0,Mira Loma,CA,No
1/11/2002,2002,11,10:59:00,592080.0,La Verne,CA,No
1/11/2002,2002,11,13:53:00,1106400.0,Monterey Park,CA,No
1/11/2002,2002,11,19:16:00,402240.0,Mira Loma,CA,No
1/11/2002,2002,11,20:25:00,3876239.8,Mira Loma,CA,No
2/11/2002,2002,11,6:05:00,3189599.8,La Verne,CA,No
2/11/2002,2002,11,6:15:00,732000.0,Monterey Park,CA,No
2/11/2002,2002,11,19:59:00,290160.0,La Verne,CA,No
3/11/2002,2002,11,5:36:00,3601920.0,La Verne,CA,No
3/11/2002,2002,11,6:05:00,4333920.0,La Verne,CA,No
4/11/2002,2002,11,6:03:00,1334640.0,La Verne,CA,No
4/11/2002,2002,11,13:20:00,1817280.0,La Verne,CA,No
4/11/2002,2002,11,20:00:00,1857840.1,La Verne,CA,No
5/11/2002,2002,11,5:41:00,3552239.8,Monterey Park,CA,No
5/11/2002,2002,11,6:28:00,2561280.0,Mira Loma,CA,No
5/11/2002,2002,11,16:43:00,681360.0,ONLINE,"",No
7/11/2002,2002,11,6:08:00,3380640.0,Monterey Park,CA,No
7/11/2002,2002,11,6:50:00,2804640.0,La Verne,CA,No
8/11/2002,2002,11,6:18:00,2943360.0,La Verne,CA,No
8/11/2002,2002,11,6:35:00,1008239.94,La Verne,CA,No
9/11/2002,2002,11,6:19:00,4008000.0,La Verne,CA,No
9/11/2002,2002,11,9:44:00,4044720.0,La Verne,CA,No
9/11/2002,2002,11,21:09:00,2061840.1,Mira Loma,CA,No
10/11/2002,2002,11,6:23:00,3651360.0,Mira Loma,CA,No
10/11/2002,2002,11,6:32:00,978720.0,Monterey Park,CA,No
10/11/2002,2002,11,9:45:00,2580000.0,La Verne,CA,No
10/11/2002,2002,11,12:39:00,1428480.0,La Verne,CA,No
10/11/2002,2002,11,12:50:00,,La Verne,CA,No
10/11/2002,2002,11,12:57:00,2184000.0,La Verne,CA,No
10/11/2002,2002,11,13:09:00,,La Verne,CA,No
10/11/2002,2002,11,13:12:00,2352000.0,La Verne,CA,No
10/11/2002,2002,11,13:20:00,1257600.0,La Verne,CA,No
11/11/2002,2002,11,6:10:00,3131520.0,La Verne,CA,No
11/11/2002,2002,11,7:16:00,3031680.0,La Verne,CA,No
13/11/2002,2002,11,20:06:00,1533600.0,La Verne,CA,No
14/11/2002,2002,11,5:29:00,3635760.2,La Verne,CA,No
14/11/2002,2002,11,6:25:00,2719680.0,La Verne,CA,No
15/11/2002,2002,11,7:36:00,940320.0,Monterey Park,CA,No
15/11/2002,2002,11,9:37:00,1607520.1,La Verne,CA,No
15/11/2002,2002,11,14:05:00,1392720.0,Ontario,CA,No
15/11/2002,2002,11,22:06:00,4473840.0,La Verne,CA,No
16/11/2002,2002,11,6:28:00,3205200.0,La Verne,CA,No
16/11/2002,2002,11,9:59:00,1433760.0,La Verne,CA,No
17/11/2002,2002,11,6:14:00,3791040.2,La Verne,CA,No
17/11/2002,2002,11,20:33:00,2289600.0,La Verne,CA,No
18/11/2002,2002,11,6:24:00,2398080.0,La Verne,CA,No
18/11/2002,2002,11,7:03:00,3055920.0,Mira Loma,CA,No
19/11/2002,2002,11,5:58:00,3229680.2,La Verne,CA,No
19/11/2002,2002,11,13:35:00,1270560.0,Monterey Park,CA,No
19/11/2002,2002,11,19:42:00,2298240.0,La Verne,CA,No
20/11/2002,2002,11,6:27:00,1996080.0,La Verne,CA,No
20/11/2002,2002,11,7:48:00,1302240.0,La Verne,CA,No
20/11/2002,2002,11,9:42:00,1464480.0,La Verne,CA,No
22/11/2002,2002,11,6:07:00,3154800.0,La Verne,CA,No
22/11/2002,2002,11,6:41:00,2781840.0,La Verne,CA,No
22/11/2002,2002,11,9:31:00,1582080.0,La Verne,CA,No
23/11/2002,2002,11,6:11:00,935760.06,La Verne,CA,No
23/11/2002,2002,11,6:16:00,3097680.2,Monterey Park,CA,No
23/11/2002,2002,11,6:47:00,893520.0,La Verne,CA,No
23/11/2002,2002,11,11:18:00,5494080.0,La Verne,CA,No
24/11/2002,2002,11,5:50:00,3402480.0,La Verne,CA,No
24/11/2002,2002,11,20:56:00,1247040.0,La Verne,CA,No
25/11/2002,2002,11,6:12:00,3433440.0,Mira Loma,CA,No
25/11/2002,2002,11,6:43:00,1216320.0,Monterey Park,CA,No
25/11/2002,2002,11,13:04:00,,La Verne,CA,No
25/11/2002,2002,11,13:27:00,1663440.0,La Verne,CA,No
25/11/2002,2002,11,13:29:00,2376000.0,La Verne,CA,No
25/11/2002,2002,11,16:52:00,2384640.0,Diamond Bar,CA,No
26/11/2002,2002,11,6:28:00,3043440.0,La Verne,CA,No
26/11/2002,2002,11,11:21:00,9113520.0,Calexico,CA,No
27/11/2002,2002,11,5:32:00,3562080.0,La Verne,CA,No
27/11/2002,2002,11,6:22:00,3326160.0,La Verne,CA,No
27/11/2002,2002,11,20:07:00,2571600.0,La Verne,CA,No
28/11/2002,2002,11,6:14:00,1954320.0,La Verne,CA,No
28/11/2002,2002,11,6:53:00,854399.94,Monterey Park,CA,No
29/11/2002,2002,11,6:14:00,4152720.0,La Verne,CA,No
29/11/2002,2002,11,6:41:00,930239.94,Monterey Park,CA,No
30/11/2002,2002,11,6:32:00,589200.0,La Verne,CA,No
30/11/2002,2002,11,16:46:00,2515440.0,La Verne,CA,No
1/12/2002,2002,12,5:35:00,1820640.0,Monterey Park,CA,No
1/12/2002,2002,12,6:22:00,3087120.0,La Verne,CA,No
2/12/2002,2002,12,6:13:00,3540959.8,Monterey Park,CA,No
2/12/2002,2002,12,12:34:00,,La Verne,CA,No
2/12/2002,2002,12,12:35:00,1593840.1,La Verne,CA,No
2/12/2002,2002,12,12:54:00,1200000.0,La Verne,CA,No
2/12/2002,2002,12,19:08:00,1704720.0,Chicago,IL,No
2/12/2002,2002,12,20:19:00,1879680.0,Chicago,IL,No
2/12/2002,2002,12,23:22:00,3048000.0,Chicago,IL,No
2/12/2002,2002,12,23:48:00,5064000.0,Peoria,IL,No
3/12/2002,2002,12,6:32:00,442800.03,Chicago,IL,No
3/12/2002,2002,12,20:14:00,1914720.0,Chicago,IL,No
4/12/2002,2002,12,20:08:00,2145360.0,Chicago,IL,No
5/12/2002,2002,12,13:17:00,238080.0,Chicago,IL,No
6/12/2002,2002,12,20:08:00,1915920.0,Chicago,IL,No
7/12/2002,2002,12,3:47:00,3586800.0,Peoria,IL,No
7/12/2002,2002,12,3:52:00,,Peoria,IL,No
7/12/2002,2002,12,5:21:00,4161120.0,Chicago,IL,No
7/12/2002,2002,12,5:23:00,,Chicago,IL,No
7/12/2002,2002,12,6:48:00,921840.0,La Verne,CA,No
7/12/2002,2002,12,20:21:00,1895280.0,Mira Loma,CA,No
8/12/2002,2002,12,6:22:00,2734560.0,La Verne,CA,No
8/12/2002,2002,12,6:44:00,1137600.0,La Verne,CA,No
8/12/2002,2002,12,20:07:00,5063040.0,ONLINE,"",No
8/12/2002,2002,12,20:26:00,1760880.1,La Verne,CA,No
9/12/2002,2002,12,6:08:00,3222239.8,La Verne,CA,No
10/12/2002,2002,12,5:14:00,3091680.2,La Verne,CA,No
10/12/2002,2002,12,6:10:00,3081840.0,ONLINE,"",No
10/12/2002,2002,12,6:47:00,1229520.0,La Verne,CA,No
11/12/2002,2002,12,6:01:00,3388560.0,La Verne,CA,No
11/12/2002,2002,12,20:14:00,4266000.0,Mira Loma,CA,No
11/12/2002,2002,12,20:47:00,1402080.0,ONLINE,"",No
12/12/2002,2002,12,6:11:00,3323280.0,Monterey Park,CA,No
12/12/2002,2002,12,6:49:00,2613600.0,La Verne,CA,No
1/9/2002,2002,9,6:21:00,3218160.0,La Verne,CA,No
1/9/2002,2002,9,6:42:00,923520.0,Monterey Park,CA,No
2/9/2002,2002,9,6:22:00,2888160.0,Monterey Park,CA,No
2/9/2002,2002,9,17:45:00,3094800.0,Monterey Park,CA,No
3/9/2002,2002,9,6:23:00,2513040.0,La Verne,CA,No
3/9/2002,2002,9,13:53:00,2068560.0,Monterey Park,CA,No
4/9/2002,2002,9,5:51:00,2252160.0,Monterey Park,CA,No
4/9/2002,2002,9,6:09:00,2964000.0,Monterey Park,CA,No
5/9/2002,2002,9,6:14:00,1481280.0,Monterey Park,CA,No
5/9/2002,2002,9,9:35:00,1370400.0,La Verne,CA,No
5/9/2002,2002,9,20:18:00,1825680.0,La Verne,CA,No
5/9/2002,2002,9,20:41:00,1293840.0,ONLINE,"",No
6/9/2002,2002,9,6:16:00,2648880.0,Mira Loma,CA,No
7/9/2002,2002,9,6:16:00,2809200.0,Monterey Park,CA,No
7/9/2002,2002,9,6:34:00,1087200.0,Monterey Park,CA,No
7/9/2002,2002,9,9:39:00,704160.0,La Verne,CA,No
8/9/2002,2002,9,6:10:00,3538800.0,La Verne,CA,No
8/9/2002,2002,9,6:38:00,666000.0,La Verne,CA,No
8/9/2002,2002,9,13:48:00,1837680.0,Monterey Park,CA,No
8/9/2002,2002,9,22:01:00,541440.0,Mira Loma,CA,No
9/9/2002,2002,9,6:54:00,900000.0,La Verne,CA,No
9/9/2002,2002,9,9:40:00,1572000.0,La Verne,CA,No
9/9/2002,2002,9,13:19:00,1354080.0,La Verne,CA,No
9/9/2002,2002,9,13:31:00,65040.0,La Verne,CA,No
9/9/2002,2002,9,20:02:00,3477599.8,ONLINE,"",No
10/9/2002,2002,9,6:20:00,3840000.0,Mira Loma,CA,No
10/9/2002,2002,9,6:22:00,2452320.0,La Verne,CA,No
10/9/2002,2002,9,6:31:00,881520.0,La Verne,CA,No
10/9/2002,2002,9,21:39:00,703920.0,Mira Loma,CA,No
11/9/2002,2002,9,6:28:00,3897360.0,La Verne,CA,No
11/9/2002,2002,9,6:33:00,825600.06,La Verne,CA,No
11/9/2002,2002,9,13:06:00,1489440.0,Mira Loma,CA,No
11/9/2002,2002,9,13:17:00,,Mira Loma,CA,No
11/9/2002,2002,9,13:23:00,2376000.0,Mira Loma,CA,No
11/9/2002,2002,9,19:30:00,1924320.0,La Verne,CA,No
12/9/2002,2002,9,6:21:00,2930400.0,La Verne,CA,No
12/9/2002,2002,9,6:26:00,2226240.0,La Verne,CA,No
12/9/2002,2002,9,6:50:00,1260480.0,La Verne,CA,No
12/9/2002,2002,9,11:43:00,27120.0,La Verne,CA,No
13/9/2002,2002,9,6:22:00,3042960.0,La Verne,CA,No
13/9/2002,2002,9,6:37:00,1065840.0,La Verne,CA,No
14/9/2002,2002,9,6:09:00,3944880.0,La Verne,CA,No
14/9/2002,2002,9,13:08:00,306240.0,La Verne,CA,No
15/9/2002,2002,9,5:34:00,2638560.0,La Verne,CA,No
